"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"bbjxpypgbfc","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1303574400000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"cmjzwypmbfb","Saturday 9:30AM Game Almaden Valley (San Jose)",1311645753000,1315067400000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynlbjc","6 PM Game Almaden Valley (San Jose)",1269652116000,1282870800000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"cmjzwypmbwb","Saturday 9:30AM Game Almaden Valley (San Jose)",1311645753000,1.316277e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"cmjzwyplbbc","Saturday 9:30AM Game Almaden Valley (San Jose)",1311645753000,1313857800000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynlbzb","6 PM Game Almaden Valley (San Jose)",1269652116000,1.282266e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpynqbgb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1.291482e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"cmjzwypmbnb","Saturday 9:30AM Game Almaden Valley (San Jose)",1311645753000,1315672200000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynmbdb","6 PM Game Almaden Valley (San Jose)",1269652116000,1283475600000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynlbwb","6 PM Game Almaden Valley (San Jose)",1269652116000,1282093200000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpynqbpb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1292086800000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpypcbcb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1293901200000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpypgbdb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1.30176e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpynqbxb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1292691600000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpyphbkb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1.304784e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynlbpc","6 PM Game Almaden Valley (San Jose)",1269652116000,1283302800000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"15964798","Meet and Greet at P.F. Changs Bistro!",1294449010000,1295571600000,37.247123,-121.827793,"PF Chang's","San Jose"
"12848796","April Clothing Fashion Swap",1268322785000,1272139200000,37.269214,-121.850568,"Home of Tina","San Jose"
"11646293","Saturday Morning Pickup Softball",1255755011000,1257008400000,37.310499,-121.966009,"Boynton High School","Campbell"
"dwjfqypdbqb","Softball",1294540469000,1297535400000,37.310499,-121.966009,"Boynton High School","Campbell"
"11650130","BBQ at Boynton High School",1255816490000,1257015600000,37.310499,-121.966009,"Boynton High School","Campbell"
"11662945","Saturday Morning Pickup Softball",1255984192000,1258225200000,37.310499,-121.966009,"Boynton High School","Campbell"
"11662936","Saturday Morning Pickup Softball",1255984138000,1257620400000,37.310499,-121.966009,"Boynton High School","Campbell"
"dwjfqypdbzb","Softball",1294540469000,1298311200000,37.310499,-121.966009,"Boynton High School","Campbell"
"72318582","Saturday Softball, Oh Yeah!",1341656091000,1347127200000,37.310499,-121.966009,"Boynton High School","Campbell"
"drjvddyqkbfc","Bachelor Pad Season Premiere",1339958113000,1.343097e+12,37.269214,-121.850568,"Tina's House","San Jose"
"14088928","August Clothing Swap, Includes Shoes, Purses, Accessories!",1279034164000,1283115600000,37.269214,-121.850568,"Tina's House","San Jose"
"qpxbqypcbpc","The Bachelor Monday Nights!",1292996977000,1.296531e+12,37.269214,-121.850568,"Tina's House","San Jose"
"14353490","Kick Off Labor Day Weekend With Wine & Cheese, Appetizers!",1281234958000,1283566500000,37.269214,-121.850568,"Tina's House","San Jose"
"kkjznypgbsb","Silicon Valley MySQL at MySQL CE 2011",1278465307000,1302832800000,37.405161,-121.976592," Hyatt","Santa Clara"
"13409230","Configure and Manage multiple sites IN Drupal",1273191415000,1275006600000,37.383053,-121.971809,"Hall 106","Santa Clara"
"zpsmnypcblb","Small Business Breakfast Club - San Jose Meetup",1272156764000,1296142200000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnynnblc","Small Business Breakfast Club - Bay Area",1272128236000,1287671400000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnynqbfc","Small Business Breakfast Club - Bay Area",1272128482000,1292340600000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnynmbfc","Small Business Breakfast Club - Bay Area",1272127189000,1285252200000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnypdbgc","Small Business Breakfast Club - Bay Area",1272127189000,1298561400000,37.322325,-121.932199,"Time Deli","San Jose"
"zpsmnypcbkc","Small Business Breakfast Club - San Jose Meetup",1272156764000,1296142200000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnynpbhc","Small Business Breakfast Club - Bay Area",1272128417000,1289921400000,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnypcbkc","Small Business Breakfast Club - Bay Area",1272127189000,1296142200000,37.322325,-121.932199,"Time Deli","San Jose"
"zpsmnypgblc","Small Business Breakfast Club - San Jose Meetup",1272156764000,1.304001e+12,37.322325,-121.932199,"Time Deli","San Jose"
"wsrmnypfbgc","Small Business Breakfast Club - Bay Area",1272127189000,1301581800000,37.322325,-121.932199,"Time Deli","San Jose"
"12156864","Healthy Trails - Almaden Quicksilver - Deep Gulch Mine Hill Trails",1261970015000,1.26729e+12,37.233905,-121.871675,"Almaden Quicksilver - Hacienda ","San Jose"
"14957408","Santa Teresa Wild Flower Hike",1285891766000,1301758200000,37.236265,-121.789316,"Santa Teresa County Park","San Jose"
"zghlnyngbhc","SBAY: Kundalini Yoga: be MAAH",1270679088000,1272216600000,37.253424,-121.873705,"Healing Evolvement","San Jose"
"13027098","SBAY: Kundalini Yoga: Increase Sexual Awareness",1269888447000,1271611800000,37.253424,-121.873705,"Healing Evolvement","San Jose"
"13027074","SBAY: Hatha Yoga: Gentle and Pure",1269888355000,1271620800000,37.253424,-121.873705,"Healing Evolvement","San Jose"
"pvrnxyrdbcb","Come join us for reading, listening, and socializing!",1312397971000,1359775800000,37.254112,-121.877988,"Barnes and Noble","San Jose"
"pvrnxyrfbcb","Come join us for reading, listening, and socializing!",1312397971000,1.362195e+12,37.254112,-121.877988,"Barnes and Noble","San Jose"
"chzrsypkbpb","[Santa Clara] Guadalupe River Trail Monday morning run",1307121831000,1310394600000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"chzrsypkbxb","[Santa Clara] Guadalupe River Trail Monday morning run",1307121831000,1310999400000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"chzrsypkbgb","[Santa Clara] Guadalupe River Trail Monday morning run",1307121831000,1309789800000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"qrntccypnbcb","[Santa Clara] Guadalupe River Trail Satuday morning run",1316886940000,1317479400000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"qrntccyqdbgb","[Santa Clara] Guadalupe River Trail Satuday morning run",1327751659000,1.328373e+12,37.400219,-121.948046,"Thamien Park","Santa Clara"
"qjmsqcyrcbhb","[Santa Clara] Guadalupe River Trail Saturday morning run",1331419739000,1357399800000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"chzrsypjbkc","[Santa Clara] Guadalupe River Trail Monday morning run",1307121831000,1.309185e+12,37.400219,-121.948046,"Thamien Park","Santa Clara"
"qjmsqcyrcbqb","[Santa Clara] Guadalupe River Trail Saturday morning run",1331419739000,1358004600000,37.400219,-121.948046,"Thamien Park","Santa Clara"
"qjmsqcyqqblb","[Santa Clara] Guadalupe River Trail Saturday morning run",1331419739000,1354980600000,37.400219,-121.948046,"Thamien Park","Santa Clara"
